ID_Processo,Data_Distribuicao,Tipo_Acao,Tempo_Tramitacao_Meses,Tempo_Liquidacao_Meses,Valor_Efetivado_BRL
PRC-200852,2018-02-23,Trabalhista,50,5,88417.21
PRC-200025,2018-02-26,Cível,23,3,134033.57
PRC-202129,2018-02-27,Trabalhista,13,3,51449.87
PRC-201681,2018-03-01,Cível,24,4,159374.45
PRC-200698,2018-03-02,Trabalhista,20,5,64843.21
PRC-202456,2018-03-02,Trabalhista,35,5,75560.95
PRC-200626,2018-03-02,Trabalhista,18,5,59736.55
PRC-200668,2018-03-04,Trabalhista,27,3,63880.72
PRC-202097,2018-03-05,Trabalhista,11,2,52267.3
PRC-201569,2018-03-05,Trabalhista,40,1,71897.36
PRC-200466,2018-03-06,Trabalhista,23,2,77646.3
PRC-202459,2018-03-06,Trabalhista,12,4,43438.1
PRC-202202,2018-03-08,Trabalhista,19,4,82267.42
PRC-200933,2018-03-09,Trabalhista,21,4,74001.8
PRC-200623,2018-03-10,Trabalhista,29,4,73486.81
PRC-200691,2018-03-10,Trabalhista,29,6,84198.48
PRC-200768,2018-03-12,Trabalhista,30,7,75495.93
PRC-201193,2018-03-13,Trabalhista,40,4,77655.87
PRC-201123,2018-03-13,Cível,16,4,101177.38
PRC-201376,2018-03-13,Trabalhista,14,5,73477.99
PRC-200606,2018-03-14,Trabalhista,37,3,90413.28
PRC-200565,2018-03-14,Trabalhista,30,4,61191.31
PRC-202213,2018-03-14,Cível,36,3,131407.49
PRC-201557,2018-03-17,Trabalhista,7,4,59966.98
PRC-201531,2018-03-17,Trabalhista,52,5,78611.66
PRC-200899,2018-03-18,Fraude,14,2,318136.6
PRC-200475,2018-03-19,Cível,13,4,95027.39
PRC-202339,2018-03-20,Trabalhista,49,7,89883.89
PRC-200808,2018-03-23,Trabalhista,23,6,49026.86
PRC-200590,2018-03-24,Fraude,39,2,439741.85
PRC-202426,2018-03-24,Fraude,29,3,316076.32
PRC-201741,2018-03-24,Cível,19,6,68951.46
PRC-200371,2018-03-25,Fraude,20,6,382570.47
PRC-202089,2018-03-26,Trabalhista,45,5,104320.59
PRC-202091,2018-03-26,Cível,34,2,113914.62
PRC-200313,2018-03-27,Cível,22,6,115721.02
PRC-201274,2018-03-28,Trabalhista,85,5,101899.92
PRC-200716,2018-03-28,Cível,25,1,82632.87
PRC-201553,2018-03-31,Cível,38,3,123854.45
PRC-200982,2018-03-31,Fraude,41,4,415209.11
PRC-201300,2018-04-01,Fraude,22,4,378960.71
PRC-200971,2018-04-03,Cível,29,3,90088.6
PRC-200759,2018-04-03,Cível,16,3,91131.45
PRC-200570,2018-04-10,Trabalhista,21,4,78113.44
PRC-201440,2018-04-13,Cível,85,3,179752.82
PRC-200443,2018-04-14,Trabalhista,18,5,75865.62
PRC-201222,2018-04-14,Trabalhista,25,2,63137.14
PRC-200898,2018-04-14,Fraude,18,6,260305.93
PRC-201269,2018-04-15,Trabalhista,17,5,53709.89
PRC-200350,2018-04-15,Trabalhista,28,7,55218.92
PRC-201153,2018-04-19,Trabalhista,29,1,72617.57
PRC-201040,2018-04-20,Trabalhista,28,4,64804.38
PRC-202250,2018-04-21,Fraude,43,3,459681.54
PRC-202033,2018-04-21,Cível,26,2,140050.25
PRC-200375,2018-04-22,Trabalhista,41,2,76405.05
PRC-200505,2018-04-23,Trabalhista,18,4,80315.55
PRC-200027,2018-04-23,Trabalhista,39,5,71933.4
PRC-200924,2018-04-24,Trabalhista,45,3,77357.05
PRC-200739,2018-04-25,Trabalhista,33,3,74691.0
PRC-202311,2018-04-26,Cível,29,5,133199.53
PRC-201503,2018-04-26,Trabalhista,31,8,78793.44
PRC-200007,2018-04-26,Cível,41,4,140446.44
PRC-200337,2018-04-26,Cível,27,5,111684.26
PRC-200183,2018-04-28,Cível,60,5,170159.51
PRC-201831,2018-04-28,Trabalhista,36,2,75377.16
PRC-200201,2018-04-29,Fraude,17,2,288113.6
PRC-200679,2018-05-01,Cível,18,7,97820.22
PRC-202438,2018-05-02,Trabalhista,19,8,75667.23
PRC-201714,2018-05-03,Fraude,74,3,518376.17
PRC-201487,2018-05-05,Trabalhista,15,5,52114.97
PRC-202472,2018-05-05,Cível,19,6,128082.3
PRC-200019,2018-05-06,Trabalhista,50,6,97810.13
PRC-202079,2018-05-07,Cível,45,4,149701.98
PRC-200524,2018-05-08,Cível,11,6,122704.06
PRC-202476,2018-05-09,Fraude,28,4,397809.37
PRC-201276,2018-05-09,Trabalhista,47,2,75498.21
PRC-201765,2018-05-09,Trabalhista,9,5,52830.93
PRC-201623,2018-05-10,Cível,21,2,122155.43
PRC-202357,2018-05-10,Fraude,60,6,494523.96
PRC-202021,2018-05-14,Trabalhista,14,6,50907.58
PRC-200672,2018-05-15,Fraude,15,3,243371.14
PRC-201434,2018-05-16,Fraude,10,4,285189.17
PRC-200748,2018-05-17,Cível,42,4,122402.65
PRC-201794,2018-05-17,Fraude,19,5,300267.7
PRC-200314,2018-05-17,Cível,31,4,115455.33
PRC-200112,2018-05-17,Cível,49,2,149550.32
PRC-201252,2018-05-17,Fraude,23,2,446013.74
PRC-200712,2018-05-17,Trabalhista,11,1,55203.95
PRC-200798,2018-05-19,Trabalhista,22,6,72295.86
PRC-201199,2018-05-19,Fraude,20,4,315764.62
PRC-200508,2018-05-20,Cível,35,5,126956.07
PRC-201272,2018-05-20,Cível,25,3,125232.79
PRC-200757,2018-05-21,Trabalhista,7,4,44497.85
PRC-201543,2018-05-21,Trabalhista,24,5,76116.55
PRC-200035,2018-05-21,Cível,25,4,88185.67
PRC-201176,2018-05-23,Cível,32,3,152906.17
PRC-202191,2018-05-23,Cível,40,3,133317.84
PRC-202243,2018-05-24,Cível,33,5,111352.12
PRC-201962,2018-05-24,Cível,16,4,141224.82
PRC-201625,2018-05-24,Trabalhista,32,2,48607.47
PRC-201412,2018-05-25,Trabalhista,21,5,46804.33
PRC-202408,2018-05-26,Cível,44,11,110650.22
PRC-202143,2018-05-26,Trabalhista,41,7,79069.54
PRC-200743,2018-05-27,Trabalhista,11,4,36531.63
PRC-201710,2018-05-28,Trabalhista,12,2,65326.8
PRC-202045,2018-05-28,Cível,13,4,99403.67
PRC-201592,2018-05-28,Fraude,25,4,320336.63
PRC-201280,2018-05-29,Trabalhista,52,3,105107.45
PRC-200614,2018-05-31,Cível,43,4,135076.64
PRC-201262,2018-06-01,Trabalhista,23,4,61040.62
PRC-202151,2018-06-02,Trabalhista,50,5,81146.65
PRC-200435,2018-06-02,Cível,28,3,144139.83
PRC-200552,2018-06-03,Trabalhista,16,6,64735.06
PRC-200344,2018-06-03,Trabalhista,56,2,86414.75
PRC-201927,2018-06-04,Trabalhista,27,6,64689.55
PRC-200873,2018-06-05,Trabalhista,24,3,52519.15
PRC-201160,2018-06-05,Cível,19,5,101352.56
PRC-202371,2018-06-06,Cível,28,6,85502.3
PRC-200256,2018-06-08,Cível,28,5,155650.68
PRC-200083,2018-06-09,Fraude,35,5,342650.34
PRC-200883,2018-06-10,Fraude,17,4,353614.31
PRC-200169,2018-06-11,Trabalhista,22,4,81715.29
PRC-200058,2018-06-11,Fraude,20,7,442168.82
PRC-200005,2018-06-12,Trabalhista,37,2,59351.56
PRC-201374,2018-06-12,Trabalhista,10,3,52282.54
PRC-201612,2018-06-12,Trabalhista,40,6,92377.69
PRC-201709,2018-06-13,Trabalhista,21,2,40147.09
PRC-200922,2018-06-15,Cível,43,4,143099.3
PRC-201369,2018-06-15,Trabalhista,16,3,72059.8
PRC-201054,2018-06-15,Cível,46,5,125091.85
PRC-200448,2018-06-16,Trabalhista,61,6,79709.7
PRC-200198,2018-06-20,Cível,22,8,109631.91
PRC-201447,2018-06-20,Cível,26,2,105826.26
PRC-202395,2018-06-20,Trabalhista,42,2,75585.95
PRC-201780,2018-06-20,Fraude,35,3,484920.7
PRC-201436,2018-06-20,Trabalhista,32,4,62649.9
PRC-202294,2018-06-21,Fraude,13,2,301684.55
PRC-201941,2018-06-21,Trabalhista,18,2,52480.6
PRC-202051,2018-06-24,Trabalhista,13,6,57380.56
PRC-200463,2018-06-24,Trabalhista,25,1,51523.86
PRC-201991,2018-06-24,Trabalhista,51,8,85017.67
PRC-200594,2018-06-25,Cível,11,4,111727.08
PRC-202223,2018-06-28,Trabalhista,24,5,66468.74
PRC-201968,2018-06-28,Trabalhista,35,1,67224.2
PRC-201009,2018-06-28,Trabalhista,24,4,35541.84
PRC-202451,2018-06-28,Cível,30,5,142674.49
PRC-200392,2018-06-30,Trabalhista,33,5,67065.3
PRC-200077,2018-07-02,Fraude,40,4,282901.17
PRC-201254,2018-07-03,Trabalhista,11,3,55822.66
PRC-201666,2018-07-04,Trabalhista,55,3,90437.96
PRC-202491,2018-07-04,Trabalhista,18,3,68990.71
PRC-201524,2018-07-06,Trabalhista,15,4,68226.78
PRC-201422,2018-07-06,Fraude,22,6,410087.16
PRC-200310,2018-07-06,Trabalhista,43,7,71411.06
PRC-201620,2018-07-06,Trabalhista,21,2,72249.19
PRC-201096,2018-07-06,Trabalhista,18,6,56781.37
PRC-200048,2018-07-07,Trabalhista,68,3,102804.97
PRC-202397,2018-07-08,Fraude,34,3,317834.31
PRC-202186,2018-07-10,Cível,19,3,109631.11
PRC-202282,2018-07-10,Trabalhista,34,7,53085.0
PRC-202203,2018-07-10,Fraude,45,4,299951.02
PRC-201306,2018-07-11,Cível,45,6,155734.85
PRC-201313,2018-07-11,Cível,47,2,144171.98
PRC-201041,2018-07-11,Cível,23,4,124172.34
PRC-201210,2018-07-11,Trabalhista,20,4,60584.52
PRC-200465,2018-07-11,Trabalhista,25,6,64211.97
PRC-202412,2018-07-12,Trabalhista,21,7,52030.49
PRC-200777,2018-07-12,Cível,49,5,165348.6
PRC-200803,2018-07-13,Trabalhista,12,4,42889.92
PRC-201647,2018-07-14,Cível,36,1,113983.15
PRC-201564,2018-07-14,Cível,18,3,96037.0
PRC-201711,2018-07-14,Fraude,9,3,318224.61
PRC-200226,2018-07-14,Cível,63,4,173402.27
PRC-200869,2018-07-14,Cível,42,4,154617.16
PRC-200693,2018-07-15,Trabalhista,43,3,74481.04
PRC-200120,2018-07-17,Cível,33,4,132386.73
PRC-202214,2018-07-18,Cível,11,3,89037.75
PRC-200038,2018-07-20,Trabalhista,20,4,81628.1
PRC-201676,2018-07-20,Fraude,16,2,399768.22
PRC-200533,2018-07-21,Trabalhista,29,2,52333.34
PRC-201311,2018-07-22,Cível,32,4,134113.51
PRC-200882,2018-07-23,Fraude,21,3,263545.4
PRC-200761,2018-07-24,Trabalhista,41,4,70360.45
PRC-200418,2018-07-25,Trabalhista,37,1,81387.36
PRC-200817,2018-07-25,Trabalhista,28,1,62003.62
PRC-200977,2018-07-26,Fraude,27,3,241790.14
PRC-200548,2018-07-27,Trabalhista,16,5,39758.52
PRC-202228,2018-07-28,Trabalhista,32,7,62475.21
PRC-201248,2018-07-29,Cível,23,2,124179.45
PRC-201796,2018-07-30,Cível,16,3,103772.22
PRC-200401,2018-07-31,Cível,7,1,91668.55
PRC-200422,2018-08-01,Fraude,35,2,280359.82
PRC-200522,2018-08-03,Cível,47,3,118345.42
PRC-200253,2018-08-04,Trabalhista,18,2,64495.28
PRC-202377,2018-08-04,Cível,21,6,70694.38
PRC-202245,2018-08-05,Trabalhista,45,2,86700.18
PRC-200554,2018-08-07,Cível,55,2,168196.29
PRC-200842,2018-08-08,Trabalhista,11,5,58890.46
PRC-201115,2018-08-08,Trabalhista,84,2,131397.66
PRC-201967,2018-08-08,Trabalhista,35,6,58481.17
PRC-200811,2018-08-09,Cível,13,4,110051.7
PRC-202157,2018-08-09,Trabalhista,22,5,48580.09
PRC-200373,2018-08-09,Trabalhista,18,3,66110.16
PRC-201576,2018-08-12,Fraude,34,4,344815.4
PRC-201966,2018-08-12,Trabalhista,33,3,76099.38
PRC-201480,2018-08-13,Cível,10,5,80040.13
PRC-200221,2018-08-13,Trabalhista,24,3,86909.46
PRC-202004,2018-08-14,Trabalhista,24,7,59322.59
PRC-201072,2018-08-14,Fraude,30,4,321758.46
PRC-201092,2018-08-15,Trabalhista,35,5,68014.75
PRC-201216,2018-08-15,Fraude,17,3,349792.58
PRC-200151,2018-08-15,Trabalhista,20,3,54352.79
PRC-201565,2018-08-16,Trabalhista,50,6,89495.71
PRC-202384,2018-08-16,Trabalhista,12,5,49278.01
PRC-202394,2018-08-17,Cível,19,3,80767.91
PRC-200900,2018-08-18,Trabalhista,54,6,79393.08
PRC-202252,2018-08-20,Trabalhista,23,5,71284.11
PRC-200241,2018-08-21,Cível,27,5,131477.83
PRC-200128,2018-08-23,Fraude,24,3,292598.88
PRC-200180,2018-08-23,Trabalhista,52,7,95978.33
PRC-201035,2018-08-24,Trabalhista,33,4,61437.14
PRC-200868,2018-08-27,Cível,42,2,93931.61
PRC-200760,2018-08-27,Trabalhista,18,4,74016.05
PRC-201530,2018-08-27,Trabalhista,9,4,59910.54
PRC-201519,2018-08-29,Cível,43,4,165243.21
PRC-202423,2018-08-29,Trabalhista,56,6,75253.74
PRC-200687,2018-08-30,Trabalhista,19,3,43034.29
PRC-201779,2018-08-31,Cível,19,2,80883.91
PRC-201860,2018-09-01,Cível,36,3,122424.25
PRC-200301,2018-09-02,Trabalhista,38,3,78004.83
PRC-200763,2018-09-02,Cível,31,5,97479.05
PRC-202119,2018-09-02,Cível,30,3,136487.71
PRC-201627,2018-09-02,Trabalhista,18,3,64992.69
PRC-200834,2018-09-07,Trabalhista,19,4,52972.79
PRC-201289,2018-09-07,Fraude,16,4,158472.03
PRC-200780,2018-09-08,Trabalhista,17,3,58947.76
PRC-201547,2018-09-10,Trabalhista,13,5,68858.64
PRC-200391,2018-09-11,Trabalhista,19,3,55250.39
PRC-200429,2018-09-11,Fraude,56,4,461445.15
PRC-201911,2018-09-12,Cível,22,5,123075.17
PRC-200671,2018-09-13,Cível,25,3,108966.45
PRC-201913,2018-09-14,Trabalhista,30,3,62513.34
PRC-200039,2018-09-14,Trabalhista,11,5,83763.56
PRC-201833,2018-09-17,Cível,18,2,100594.59
PRC-200456,2018-09-19,Fraude,39,3,274772.79
PRC-201817,2018-09-20,Cível,36,8,123530.75
PRC-201971,2018-09-22,Cível,26,3,87372.55
PRC-202369,2018-09-22,Cível,41,4,122571.53
PRC-201818,2018-09-24,Trabalhista,51,5,87214.34
PRC-201378,2018-09-26,Trabalhista,38,4,76382.73
PRC-201106,2018-09-27,Trabalhista,48,7,75710.48
PRC-200380,2018-09-28,Fraude,28,4,400682.88
PRC-201937,2018-09-28,Cível,18,4,82141.69
PRC-201266,2018-09-28,Trabalhista,38,1,72393.85
PRC-200425,2018-09-29,Trabalhista,40,5,80514.38
PRC-202190,2018-09-29,Trabalhista,38,3,78692.19
PRC-201227,2018-09-30,Trabalhista,42,4,74905.6
PRC-202439,2018-09-30,Trabalhista,52,2,91476.27
PRC-201850,2018-09-30,Trabalhista,54,4,92338.77
PRC-200335,2018-10-01,Fraude,19,6,316937.25
PRC-201942,2018-10-01,Cível,14,6,109857.07
PRC-202178,2018-10-01,Trabalhista,58,5,99071.82
PRC-200639,2018-10-02,Trabalhista,43,4,81269.35
PRC-201776,2018-10-03,Trabalhista,16,3,57172.01
PRC-201144,2018-10-03,Trabalhista,28,5,45766.49
PRC-200697,2018-10-04,Trabalhista,11,7,37632.24
PRC-200020,2018-10-04,Trabalhista,13,5,74678.79
PRC-201350,2018-10-05,Cível,55,4,138862.31
PRC-201599,2018-10-05,Cível,55,4,124756.06
PRC-200240,2018-10-05,Cível,47,7,112658.71
PRC-200388,2018-10-06,Cível,20,8,107860.76
PRC-201694,2018-10-07,Trabalhista,43,4,89441.89
PRC-200584,2018-10-11,Trabalhista,27,4,75903.62
PRC-201571,2018-10-12,Trabalhista,33,7,63579.35
PRC-201618,2018-10-15,Trabalhista,20,3,87865.88
PRC-201452,2018-10-15,Cível,31,3,99436.75
PRC-200955,2018-10-15,Trabalhista,43,3,73492.97
PRC-200732,2018-10-16,Trabalhista,19,7,51367.62
PRC-200387,2018-10-17,Trabalhista,34,2,64244.14
PRC-201887,2018-10-18,Trabalhista,25,5,53479.94
PRC-201231,2018-10-20,Trabalhista,38,5,64833.3
PRC-202082,2018-10-21,Trabalhista,43,4,81972.38
PRC-202396,2018-10-22,Trabalhista,26,6,53951.93
PRC-200765,2018-10-22,Trabalhista,8,1,54516.38
PRC-200651,2018-10-22,Trabalhista,33,6,73667.91
PRC-202121,2018-10-23,Trabalhista,54,4,100037.72
PRC-200992,2018-10-23,Trabalhista,22,6,72989.15
PRC-202131,2018-10-24,Fraude,46,4,446159.49
PRC-201655,2018-10-25,Cível,35,3,128148.4
PRC-201792,2018-10-26,Trabalhista,63,3,85004.07
PRC-200907,2018-10-26,Trabalhista,32,4,63383.08
PRC-200586,2018-10-28,Fraude,22,7,407783.31
PRC-201903,2018-10-31,Fraude,115,3,704617.0
PRC-200771,2018-11-01,Cível,42,3,140142.79
PRC-201635,2018-11-02,Trabalhista,13,1,59091.69
PRC-200414,2018-11-02,Trabalhista,28,2,77223.92
PRC-202014,2018-11-02,Trabalhista,19,3,52886.48
PRC-200218,2018-11-03,Trabalhista,18,5,45772.34
PRC-201136,2018-11-04,Cível,26,4,134817.61
PRC-201234,2018-11-04,Trabalhista,23,7,72621.93
PRC-200423,2018-11-06,Trabalhista,31,4,76959.45
PRC-201108,2018-11-06,Trabalhista,26,3,61949.14
PRC-201317,2018-11-07,Cível,22,1,75935.78
PRC-201843,2018-11-09,Trabalhista,57,4,83954.19
PRC-202105,2018-11-09,Trabalhista,8,6,44180.57
PRC-200497,2018-11-09,Fraude,28,4,237295.49
PRC-200709,2018-11-10,Trabalhista,56,4,76280.51
PRC-200348,2018-11-11,Trabalhista,22,1,79382.96
PRC-201156,2018-11-11,Trabalhista,34,6,44936.64
PRC-201683,2018-11-17,Cível,42,3,105000.32
PRC-201638,2018-11-17,Cível,40,1,133441.67
PRC-202040,2018-11-19,Cível,20,7,88611.41
PRC-202236,2018-11-21,Cível,13,5,119587.49
PRC-201746,2018-11-22,Fraude,33,2,281534.71
PRC-200331,2018-11-23,Cível,35,3,153230.43
PRC-202468,2018-11-23,Trabalhista,36,2,62586.8
PRC-201154,2018-11-24,Trabalhista,30,3,55622.81
PRC-201812,2018-11-24,Trabalhista,66,5,126187.92
PRC-200161,2018-11-25,Trabalhista,18,4,60031.47
PRC-201865,2018-11-26,Cível,13,2,112327.61
PRC-200220,2018-11-27,Trabalhista,61,5,92549.17
PRC-200630,2018-11-27,Cível,27,6,91983.65
PRC-201699,2018-11-28,Trabalhista,54,5,93171.39
PRC-201670,2018-12-02,Trabalhista,20,8,66538.8
PRC-201145,2018-12-03,Cível,16,7,97672.18
PRC-200632,2018-12-04,Trabalhista,23,6,56367.3
PRC-200932,2018-12-05,Cível,10,8,76988.06
PRC-200793,2018-12-05,Trabalhista,49,5,79442.78
PRC-201990,2018-12-06,Cível,24,4,137417.57
PRC-202351,2018-12-06,Cível,44,3,139456.81
PRC-201632,2018-12-07,Trabalhista,35,4,66788.65
PRC-201206,2018-12-08,Trabalhista,33,1,95110.85
PRC-200405,2018-12-08,Cível,73,6,197123.81
PRC-201309,2018-12-11,Cível,15,2,113500.28
PRC-202168,2018-12-11,Trabalhista,26,6,50587.55
PRC-202154,2018-12-11,Fraude,61,5,478186.89
PRC-201849,2018-12-14,Trabalhista,29,2,88981.44
PRC-200322,2018-12-15,Trabalhista,12,9,57422.52
PRC-201134,2018-12-15,Trabalhista,36,6,55852.96
PRC-200913,2018-12-17,Trabalhista,25,6,71235.65
PRC-202330,2018-12-18,Trabalhista,26,7,59582.81
PRC-200094,2018-12-20,Cível,29,7,94653.05
PRC-200179,2018-12-22,Fraude,27,3,407791.32
PRC-200286,2018-12-23,Trabalhista,60,3,88712.67
PRC-200054,2018-12-24,Trabalhista,20,4,67635.56
PRC-201038,2018-12-26,Fraude,45,4,386655.64
PRC-201325,2018-12-26,Trabalhista,24,3,64833.34
PRC-200528,2018-12-27,Fraude,22,4,365477.54
PRC-200658,2018-12-29,Trabalhista,41,4,76946.51
PRC-200911,2018-12-31,Trabalhista,50,5,86419.39
PRC-200004,2018-12-31,Trabalhista,62,3,83755.94
PRC-200895,2019-01-01,Trabalhista,32,4,68599.61
PRC-201837,2019-01-01,Trabalhista,16,5,51589.06
PRC-200604,2019-01-02,Fraude,16,2,285043.7
PRC-201253,2019-01-02,Fraude,27,1,343559.59
PRC-202048,2019-01-02,Trabalhista,20,2,71627.11
PRC-200613,2019-01-04,Fraude,26,6,340965.62
PRC-200471,2019-01-04,Cível,27,4,122530.99
PRC-200597,2019-01-05,Trabalhista,21,3,64326.37
PRC-200861,2019-01-06,Trabalhista,18,5,41483.26
PRC-201731,2019-01-07,Trabalhista,28,2,60603.79
PRC-202307,2019-01-07,Trabalhista,21,3,54615.17
PRC-202062,2019-01-09,Cível,15,4,86650.15
PRC-201499,2019-01-10,Cível,16,2,116726.67
PRC-200499,2019-01-10,Cível,31,3,125366.89
PRC-200975,2019-01-10,Trabalhista,37,5,81439.11
PRC-201816,2019-01-11,Trabalhista,43,4,81970.03
PRC-202209,2019-01-11,Cível,27,2,109091.43
PRC-201549,2019-01-11,Trabalhista,44,5,86480.97
PRC-201896,2019-01-12,Trabalhista,37,6,86731.85
PRC-202286,2019-01-14,Cível,25,5,136215.53
PRC-202181,2019-01-16,Trabalhista,45,2,82207.68
PRC-201830,2019-01-16,Cível,25,5,85838.91
PRC-201870,2019-01-16,Cível,31,5,109926.61
PRC-201957,2019-01-18,Trabalhista,42,5,82492.35
PRC-200936,2019-01-18,Fraude,16,6,363069.59
PRC-201142,2019-01-18,Trabalhista,28,5,86185.85
PRC-202303,2019-01-18,Trabalhista,13,3,37161.83
PRC-201611,2019-01-19,Trabalhista,10,3,54001.88
PRC-200403,2019-01-19,Cível,29,2,106567.61
PRC-202244,2019-01-19,Cível,18,6,80548.27
PRC-200866,2019-01-19,Trabalhista,35,4,98983.94
PRC-200802,2019-01-19,Trabalhista,36,5,64516.15
PRC-200193,2019-01-22,Trabalhista,33,4,59672.97
PRC-202287,2019-01-22,Trabalhista,14,2,41637.48
PRC-202324,2019-01-22,Cível,62,3,187493.76
PRC-201128,2019-01-22,Trabalhista,37,3,67028.73
PRC-201595,2019-01-23,Trabalhista,26,4,65983.51
PRC-200486,2019-01-25,Fraude,15,3,383488.32
PRC-201389,2019-01-25,Trabalhista,42,5,90196.86
PRC-200650,2019-01-25,Fraude,34,5,242460.34
PRC-201205,2019-01-25,Cível,20,2,139310.6
PRC-202484,2019-01-26,Trabalhista,15,2,69105.46
PRC-201868,2019-01-26,Fraude,22,4,327824.82
PRC-200884,2019-01-27,Cível,47,2,145942.12
PRC-202348,2019-01-27,Trabalhista,13,4,48850.35
PRC-200235,2019-01-28,Cível,25,4,92414.28
PRC-200859,2019-01-30,Fraude,35,9,387941.63
PRC-200157,2019-02-01,Cível,25,2,100449.25
PRC-202441,2019-02-02,Trabalhista,46,4,71801.12
PRC-200191,2019-02-02,Cível,20,7,101589.94
PRC-200559,2019-02-07,Trabalhista,29,3,51084.88
PRC-201930,2019-02-09,Trabalhista,42,4,76168.21
PRC-200367,2019-02-09,Cível,26,3,92483.22
PRC-200887,2019-02-09,Trabalhista,28,3,58702.47
PRC-201356,2019-02-09,Cível,30,8,127882.61
PRC-200969,2019-02-10,Trabalhista,36,3,54943.84
PRC-201122,2019-02-10,Cível,38,6,131328.68
PRC-201385,2019-02-11,Trabalhista,31,6,83144.55
PRC-200446,2019-02-11,Cível,21,2,87622.23
PRC-201802,2019-02-15,Trabalhista,68,2,97524.91
PRC-200745,2019-02-16,Cível,33,4,135650.04
PRC-200572,2019-02-17,Trabalhista,16,6,44797.08
PRC-200043,2019-02-18,Cível,44,3,99914.17
PRC-202315,2019-02-19,Fraude,14,3,307935.1
PRC-201180,2019-02-21,Cível,12,4,51249.34
PRC-202085,2019-02-23,Trabalhista,19,2,59633.04
PRC-202020,2019-02-24,Cível,35,2,101606.72
PRC-200410,2019-02-24,Trabalhista,25,10,56520.21
PRC-201663,2019-02-25,Trabalhista,39,7,87223.28
PRC-201901,2019-02-25,Fraude,12,2,339652.22
PRC-201862,2019-02-26,Trabalhista,30,3,57786.66
PRC-201946,2019-02-26,Trabalhista,34,6,73762.56
PRC-201446,2019-02-27,Trabalhista,21,4,64815.56
PRC-201203,2019-02-28,Trabalhista,46,2,75616.7
PRC-200542,2019-03-01,Trabalhista,15,9,56215.63
PRC-202398,2019-03-02,Trabalhista,23,6,65781.23
